order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order
1269089,35,1,5,21,
2562704,35,2,3,16,26.0
1136841,35,3,6,9,30.0
457048,35,4,0,20,22.0
2880466,35,5,5,16,30.0
1830981,35,6,6,10,1.0
3309528,35,7,3,18,4.0
1316279,35,8,4,17,30.0
2903057,35,9,4,16,28.0
707453,35,10,4,15,21.0
2242366,96,1,4,12,
2552220,96,2,5,10,8.0
927478,96,3,4,16,6.0
1997812,96,4,1,10,11.0
1035645,96,5,3,11,9.0
1456739,96,6,1,15,12.0
2647486,96,7,6,22,19.0
2716894,96,8,4,22,5.0
1063629,96,9,4,16,7.0
1002033,96,10,6,13,9.0
165754,96,11,0,1,8.0
2331962,96,12,0,11,14.0
145694,96,13,5,12,12.0
1411620,96,14,2,15,30.0
3378475,96,15,1,9,13.0
784032,96,16,3,9,9.0
531345,96,17,1,11,30.0
3131227,98,1,0,14,
3031033,98,2,3,21,24.0
2126069,98,3,0,9,25.0
3027046,98,4,4,7,11.0
335423,98,5,4,16,21.0
446247,98,6,0,18,30.0
2210120,98,7,5,14,5.0
2389272,98,8,3,13,5.0
681011,98,9,3,9,30.0
465170,98,10,3,17,30.0
2846344,98,11,4,13,15.0
747431,98,12,6,13,30.0
2383054,98,13,4,11,30.0
1993729,98,14,5,8,8.0
139487,98,15,6,15,30.0
981955,205,1,0,13,
878294,205,2,2,17,2.0
789098,205,3,0,17,12.0
2397144,205,4,4,19,30.0
97396,205,5,5,13,1.0
1570805,205,6,3,15,12.0
1299255,205,7,2,18,6.0
1123920,205,8,4,17,2.0
1248152,205,9,1,11,11.0
3323166,205,10,1,18,30.0
969013,205,11,1,15,14.0
1071848,205,12,2,9,22.0
2177938,205,13,2,18,30.0
2667142,219,1,4,15,
1323045,219,2,5,16,8.0
2838356,219,3,3,12,12.0
405196,219,4,2,21,6.0
1187640,219,5,0,22,19.0
719604,219,6,0,23,30.0
1677675,219,7,0,18,14.0
502452,219,8,4,10,4.0
1326496,219,9,0,21,17.0
716387,219,10,3,15,30.0
3188773,219,11,1,20,12.0
393745,219,12,1,22,7.0
1134884,219,13,3,13,9.0
970901,219,14,4,10,8.0
333665,219,15,6,12,9.0
2971002,219,16,5,16,20.0
2986530,219,17,3,15,12.0
1502784,219,18,5,11,2.0
3387023,219,19,3,13,5.0
1549594,219,20,1,9,5.0
38900,219,21,4,11,3.0
2868789,219,22,4,10,7.0
1811397,219,23,5,11,8.0
2109253,219,24,2,11,11.0
162718,219,25,2,10,21.0
695269,219,26,1,12,6.0
3242513,219,27,2,14,8.0
1842334,219,28,3,6,8.0
2329269,219,29,6,0,10.0
1612834,219,30,3,15,4.0
3361389,219,31,0,14,4.0
1933430,219,32,4,23,4.0
2030141,219,33,6,14,2.0
1902701,219,34,6,15,14.0
1604596,243,1,3,13,
1174203,243,2,2,16,13.0
221219,243,3,0,11,12.0
3251692,243,4,1,13,30.0
1233864,243,5,0,14,6.0
791107,243,6,2,11,9.0
991770,243,7,0,16,12.0
3362531,243,8,1,16,8.0
712580,243,9,5,13,11.0
2235333,243,10,1,13,17.0
2658972,243,11,4,13,10.0
1659229,243,12,2,10,30.0
1053050,243,13,1,14,13.0
1019328,243,14,5,16,18.0
893466,243,15,3,16,26.0
243116,243,16,5,15,2.0
3406365,243,17,1,17,10.0
3003446,243,18,0,15,13.0
1562115,243,19,4,15,4.0
736099,243,20,5,15,8.0
3392713,243,21,5,11,14.0
1723243,243,22,6,14,8.0
1608027,243,23,5,14,6.0
955004,243,24,2,16,11.0
2059129,243,25,6,17,4.0
2564377,243,26,1,10,9.0
394455,243,27,1,8,7.0
2698993,243,28,0,10,20.0
1656422,302,1,1,12,
1654049,302,2,1,16,14.0
1882795,302,3,2,12,1.0
560153,302,4,1,11,6.0
269362,302,5,3,12,16.0
1508043,302,6,1,12,12.0
3310592,302,7,2,14,15.0
1297129,302,8,1,16,13.0
2353232,302,9,2,12,8.0
1193039,302,10,5,16,30.0
82598,302,11,3,15,12.0
1063770,436,1,1,8,
1284038,436,2,4,7,10.0
346390,436,3,3,10,6.0
1387980,436,4,3,7,21.0
1056135,436,5,4,10,8.0
212391,436,6,4,6,14.0
1826445,436,7,1,6,18.0
2703275,436,8,3,12,2.0
1079749,436,9,4,14,8.0
2787763,436,10,3,9,6.0
2962810,436,11,1,10,5.0
3336231,436,12,4,13,3.0
1118774,436,13,4,12,14.0
1477295,436,14,2,14,5.0
3024374,436,15,5,13,10.0
1501794,436,16,1,9,17.0
3407461,436,17,1,8,7.0
1510755,596,1,0,22,
1896584,596,2,6,15,6.0
1240693,596,3,5,12,6.0
1865753,596,4,1,21,3.0
2387828,596,5,4,22,3.0
1875809,596,6,0,23,3.0
2274705,596,7,3,22,3.0
1975447,596,8,1,19,5.0
697967,596,9,0,21,6.0
2641554,596,10,5,18,5.0
2204918,596,11,1,16,3.0
391710,596,12,0,21,6.0
3306617,596,13,1,13,15.0
664265,596,14,0,21,6.0
424712,596,15,0,20,7.0
1248524,596,16,0,19,7.0
3317996,596,17,5,12,5.0
2030319,596,18,6,14,8.0
225889,596,19,0,22,1.0
3072612,596,20,5,14,5.0
670334,596,21,0,20,2.0
2293554,596,22,5,18,30.0
1473999,596,23,4,17,13.0
1514391,596,24,1,20,4.0
1301103,596,25,5,12,4.0
1468410,596,26,0,14,2.0
295362,596,27,0,19,7.0
947989,596,28,0,14,7.0
1164721,596,29,2,18,2.0
1592685,596,30,0,22,5.0
458385,596,31,0,13,7.0
1959974,596,32,4,8,4.0
1656463,596,33,0,17,3.0
1565691,596,34,6,14,6.0
68022,596,35,3,16,4.0
1259167,596,36,0,20,4.0
597424,596,37,6,18,6.0
440131,596,38,1,22,2.0
2738799,596,39,5,23,4.0
1846867,596,40,4,18,6.0
524889,596,41,0,11,3.0
2682358,596,42,3,19,3.0
1732108,596,43,6,16,10.0
619834,596,44,4,16,5.0
2763181,596,45,4,20,0.0
1893365,596,46,3,23,6.0
1322096,596,47,0,20,4.0
870562,596,48,6,16,6.0
120089,596,49,5,17,13.0
1029583,596,50,3,19,5.0
61110,596,51,6,14,3.0
2332074,596,52,0,23,8.0
594017,596,53,2,11,2.0
2623600,596,54,6,14,4.0
1448620,596,55,1,22,2.0
144711,596,56,0,10,6.0
1553433,596,57,4,14,4.0
1873735,596,58,1,7,4.0
185323,596,59,6,0,5.0
1661482,596,60,4,20,5.0
2651387,596,61,0,17,10.0
1966166,596,62,3,14,10.0
1164200,596,63,2,10,6.0
479960,596,64,1,7,6.0
203528,596,65,6,12,5.0
2111360,630,1,3,16,
1670116,630,2,2,10,20.0
2633050,630,3,1,9,6.0
2964306,630,4,5,11,4.0
2286979,630,5,5,14,14.0
607010,630,6,5,10,14.0
3013694,630,7,5,14,7.0
1252174,630,8,4,16,6.0
1049566,630,9,5,10,8.0
3063454,630,10,5,9,7.0
3116979,630,11,1,11,10.0
